file,reason for lower coverage,Example candidate,
./so_snippets_dataset/snippet_565.py,"No undefined variables, code sequence causes execution error",x,
./so_snippets_dataset/snippet_652.py,Failure in parsing the json prediction,,
./so_snippets_dataset/snippet_541.py,Failure in parsing the json prediction,,
./so_snippets_dataset/snippet_416.py 	,Prediction fix problem but causes problem in previous line,,
./so_snippets_dataset/snippet_698.py,Prediction does not define all values for all methods in chained method calls,,
./so_snippets_dataset/snippet_780.py 	,Prediction does not define inexistent method in built-in function: all.equal() - R syntax not Python,x,Refine not executed always?
./so_snippets_dataset/snippet_332.py,Failure to install missing library,,
./so_snippets_dataset/snippet_196.py 	,"Prediction is correct, but code depends on older library version ",x,
./so_snippets_dataset/snippet_685.py 	,"No undefined variables, code just depends on an older Python version",,
./popular_projects_snippets_dataset/scrapy/bodies/body_862.py,Prediction does not accept args as used in code,x,
./popular_projects_snippets_dataset/tensorflow/bodies/body_43820.py,Prediction contains method that behaves as not expected in code,,
./popular_projects_snippets_dataset/tensorflow/bodies/body_54887.py,Failure to install missing library,,
./popular_projects_snippets_dataset/black/bodies/body_185.py,Prediction does not define all values,x,
./popular_projects_snippets_dataset/tensorflow/bodies/body_12674.py,Prediction fix problem but causes problem in previous line,,
./popular_projects_snippets_dataset/tensorflow/bodies/body_58023.py,Prediction does not define all values for all methods in chained method calls,,
./popular_projects_snippets_dataset/tensorflow/bodies/body_27020.py,Prediction does not define all values for all methods in chained method calls,,
./popular_projects_snippets_dataset/tensorflow/bodies/body_14753.py,Prediction does not define all values for all methods in chained method calls,,
./popular_projects_snippets_dataset/tensorflow/bodies/body_13141.py,Failure to install missing library,,
./popular_projects_snippets_dataset/flask/bodies/body_20.py,Prediction does not define all values for all attributes in chained attribute calls,,
./popular_projects_snippets_dataset/pandas/bodies/body_13540.py,Prediction make assert fail,,
